Metric,Value
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-8.647497185306998
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.22919265745100115
timing__hold__ws__corner:max_ff_n40C_1v95,0.1103904776612574
timing__setup__ws__corner:max_ff_n40C_1v95,39.584479037267855
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.11039
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,39.58448
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,901
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,901
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:max_ss_100C_1v60,1.59977
design_powergrid__drop__average__net:vccd1__corner:max_ss_100C_1v60,1.59995
design_powergrid__drop__worst__net:vccd1__corner:max_ss_100C_1v60,0.000234145
design_powergrid__voltage__worst__net:vssd1__corner:max_ss_100C_1v60,0.000213259
design_powergrid__drop__average__net:vssd1__corner:max_ss_100C_1v60,5.17018e-05
design_powergrid__drop__worst__net:vssd1__corner:max_ss_100C_1v60,0.000213259
design_powergrid__voltage__worst,0.000213259
design_powergrid__voltage__worst__net:vccd1,1.59977
design_powergrid__drop__worst,0.000234145
design_powergrid__drop__worst__net:vccd1,0.000234145
design_powergrid__voltage__worst__net:vssd1,0.000213259
design_powergrid__drop__worst__net:vssd1,0.000213259
ir__voltage__worst,1.6
ir__drop__avg,5.21e-05
ir__drop__worst,0.000234
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
